Subject,LP,Licks,Session,Group,FI
1,21.23474281,11.01787271,1,C,D
1,20.03319818,16.78413018,2,C,D
1,24.85767984,24.26933239,3,C,D
1,24.26657206,14.60579101,4,C,D
1,26.80429262,12.05865487,5,C,D
2,34.12663755,28.52620087,1,C,D
2,40.05360171,24.64584587,2,C,D
2,40.58674374,28.17024293,3,C,D
2,41.49354909,30.50513886,4,C,D
2,44.29871301,26.33002705,5,C,D
3,44.24378001,41.69030991,1,C,D
3,41.74953557,39.63501257,2,C,D
3,45.35141194,51.87939094,3,C,D
3,33.84068862,50.0396229,4,C,D
3,22.74243833,54.26352349,5,C,D
4,21.56596392,58.1938709,1,C,D
4,20.26436472,52.1985433,2,C,D
4,16.55739467,58.87790198,3,C,D
4,16.62631154,38.7732042,4,C,D
4,15.22506263,37.93335668,5,C,D
5,61.87022796,69.27560822,1,C,D
5,56.69136343,80.03390109,2,C,D
5,59.81339008,46.19413979,3,C,D
5,56.04080853,27.77489839,4,C,D
5,60.75907951,23.45948304,5,C,D
6,31.11621422,91.44591159,1,C,D
6,32.93501391,94.51628744,2,C,D
6,35.13964494,96.0800941,3,C,D
6,32.3362135,67.62550585,4,C,D
6,38.93979058,92.29384817,5,C,D
7,49.53752967,15.91225342,1,C,D
7,52.01157268,19.2750696,2,C,D
7,45.98103255,26.87693022,3,C,D
7,44.5858481,20.81000628,4,C,D
7,52.00720957,15.10732427,5,C,D
8,35.07217848,62.07349081,1,C,D
8,16.92030764,61.03747341,2,C,D
8,31.85652281,63.51650152,3,C,D
8,32.52232326,64.81526993,4,C,D
8,36.66775992,62.31551328,5,C,D
11,22.28922149,,1,S,D
11,24.05472164,,2,S,D
11,24.63128839,,3,S,D
11,25.43506635,,4,S,D
11,24.11706998,,5,S,D
12,41.29614438,,1,S,D
12,41.39855548,,2,S,D
12,48.42865348,,3,S,D
12,39.29417531,,4,S,D
12,39.53107067,,5,S,D
13,41.43447976,,1,S,D
13,38.7524558,,2,S,D
13,45.89967285,,3,S,D
13,45.08566276,,4,S,D
13,41.11587748,,5,S,D
14,41.48059507,,1,S,D
14,44.01538172,,2,S,D
14,50.20227422,,3,S,D
14,34.61757141,,4,S,D
14,30.11025835,,5,S,D
15,24.83535623,,1,S,D
15,20.22196834,,2,S,D
15,22.67460747,,3,S,D
15,23.16810638,,4,S,D
15,18.44009506,,5,S,D
16,31.42124222,,1,S,D
16,33.64638185,,2,S,D
16,29.89347173,,3,S,D
16,32.77042695,,4,S,D
16,31.07204281,,5,S,D
17,29.23164857,,1,S,D
17,28.61269314,,2,S,D
17,28.54811067,,3,S,D
17,29.60611979,,4,S,D
17,26.49780809,,5,S,D
18,33.26243455,,1,S,D
18,5.644388398,,2,S,D
18,18.18181818,,3,S,D
18,16.8059126,,4,S,D
18,23.50391461,,5,S,D
21,16.18979737,166.1134304,1,C,A
21,25.08018624,170.2224521,2,C,A
21,16.13874753,190.6116938,3,C,A
21,18.92450879,174.3536711,4,C,A
21,25.64197645,3.003615463,5,C,A
22,36.67293047,126.3376521,1,C,A
22,33.36453848,190.4137802,2,C,A
22,28.66485014,184.4686649,3,C,A
22,34.59948829,199.2127534,4,C,A
22,16.32690711,224.5918273,5,C,A
23,30.86620577,41.90727938,1,C,A
23,24.7873633,61.17861482,2,C,A
23,32.69012486,68.78547106,3,C,A
23,28.91638998,74.97736191,4,C,A
23,33.47587049,36.46915089,5,C,A
24,14.859475,198.5715611,1,C,A
24,15.76793671,188.9424388,2,C,A
24,11.79996254,216.6135981,3,C,A
24,7.920969915,201.4728334,4,C,A
24,11.06521948,183.0948036,5,C,A
25,42.62910798,39.3114241,1,C,A
25,38.3626943,58.88082902,2,C,A
25,36.05470369,47.61707418,3,C,A
25,34.58230958,51.04422604,4,C,A
25,25.96332166,62.80651144,5,C,A
26,23.55232141,143.0357692,1,C,A
26,18.65745311,156.130306,2,C,A
26,18.32202344,173.9666872,3,C,A
26,17.24172218,174.14736,4,C,A
26,17.18518519,134.5777778,5,C,A
27,55.78061701,28.17076971,1,C,A
27,53.78584692,24.26243037,2,C,A
27,52.6525477,3.271126022,3,C,A
27,51.75438596,13.78446115,4,C,A
27,43.39291249,12.27399525,5,C,A
28,33.94103552,17.93936868,1,C,A
28,30.98708871,14.36901291,2,C,A
28,31.96261682,24.42367601,3,C,A
28,30.13127735,27.8808085,4,C,A
28,35.29042386,17.39403454,5,C,A
31,48.8372093,,1,S,A
31,44.24135424,,2,S,A
31,49.78630251,,3,S,A
31,37.86945813,,4,S,A
31,49.84365228,,5,S,A
32,55.21050438,,1,S,A
32,49.29533354,,2,S,A
32,59.98123632,,3,S,A
32,40.90064036,,4,S,A
32,36.881212,,5,S,A
33,62.01485511,,1,S,A
33,56.51003933,,2,S,A
33,60.61429168,,3,S,A
33,52.9907417,,4,S,A
33,53.15904139,,5,S,A
34,45.1573103,,1,S,A
34,48.86175497,,2,S,A
34,42.83091984,,3,S,A
34,43.19220225,,4,S,A
34,29.72946766,,5,S,A
35,24.13615266,,1,S,A
35,20.66074459,,2,S,A
35,26.04999494,,3,S,A
35,23.26442456,,4,S,A
35,26.01726264,,5,S,A
36,22.41292277,,1,S,A
36,24.97709924,,2,S,A
36,21.20056214,,3,S,A
36,21.49455964,,4,S,A
36,21.79074447,,5,S,A
37,43.25726141,,1,S,A
37,42.30043997,,2,S,A
37,40.09978173,,3,S,A
37,36.30179344,,4,S,A
37,36.68528864,,5,S,A
38,57.32208968,,1,S,A
38,57.32048492,,2,S,A
38,48.70455495,,3,S,A
38,43.39963834,,4,S,A
38,49.5133568,,5,S,A
41,17.42831303,114.3054743,1,C,B
41,21.15538486,112.850056,2,C,B
41,20.81347315,104.7982205,3,C,B
41,19.68670618,107.4513124,4,C,B
41,16.15214414,112.5276578,5,C,B
42,27.82655535,126.2052249,1,C,B
42,38.70655852,89.49884514,2,C,B
42,31.78252928,109.0147201,3,C,B
42,33.01180148,115.0401466,4,C,B
42,24.36450839,99.34452438,5,C,B
43,23.51449849,26.33497069,1,C,B
43,19.58428579,30.62038169,2,C,B
43,24.35269419,21.18748991,3,C,B
43,17.70744226,14.91659538,4,C,B
43,17.78321716,23.75352525,5,C,B
44,16.14686555,20.99718369,1,C,B
44,19.94205952,19.49960495,2,C,B
44,20.78275429,19.3700293,3,C,B
44,21.15445607,10.18078021,4,C,B
44,24.19226484,16.93458539,5,C,B
45,42.32753063,52.4822695,1,C,B
45,53.91435986,58.68295848,2,C,B
45,42.40961327,28.02119956,3,C,B
45,42.58437182,43.38663957,4,C,B
45,42.96089085,44.18742267,5,C,B
46,27.88074134,16.76067687,1,C,B
46,35.15763467,13.53456147,2,C,B
46,30.51390149,12.93558888,3,C,B
46,33.0131284,9.510086455,4,C,B
46,31.96405648,7.284980745,5,C,B
51,30.53443233,,1,S,B
51,25.70418764,,2,S,B
51,21.40237095,,3,S,B
51,21.35766891,,4,S,B
51,20.71280166,,5,S,B
52,43.11549747,,1,S,B
52,47.90078385,,2,S,B
52,42.58271078,,3,S,B
52,34.59136284,,4,S,B
52,41.72962546,,5,S,B
53,25.97693786,,1,S,B
53,32.07799861,,2,S,B
53,36.97415785,,3,S,B
53,36.63042896,,4,S,B
53,29.56139881,,5,S,B
54,23.66242038,,1,S,B
54,20.9042804,,2,S,B
54,21.21466849,,3,S,B
54,26.76236045,,4,S,B
54,25.58127047,,5,S,B
55,35.31851537,,1,S,B
55,36.13423103,,2,S,B
55,27.02152726,,3,S,B
55,31.74959872,,4,S,B
55,31.44734733,,5,S,B
56,59.19484702,,1,S,B
56,58.89511092,,2,S,B
56,63.2499865,,3,S,B
56,58.7058254,,4,S,B
56,47.82796163,,5,S,B
