FI,Session,Group,Sujeto,Breakpoint,NT_bp,PRP,FI_letra,Sujeto_total,FI_Letra
60,1,S,1,40.68684222,38,38.04918019,C,101,D
60,1,S,3,36.21071451,56,23.67540981,C,103,D
60,1,S,5,36.97321432,56,20.05737704,C,105,D
60,1,S,7,34.53728834,59,22.27540987,C,107,D
60,1,S,9,41.34905678,53,31.90491795,C,109,D
60,1,S,11,35.70517231,58,21.71147525,C,1011,D
60,1,S,13,38.24199974,50,28.42622957,C,1013,D
60,1,S,15,36.12727262,55,17.68688524,C,1015,D
60,2,S,1,43.78235305,51,37.02950817,C,101,D
60,2,S,3,36.72857145,56,18.9295083,C,103,D
60,2,S,5,36.62711861,59,21.62295085,C,105,D
60,2,S,7,34.85087713,57,22.29180341,C,107,D
60,2,S,9,43.34255316,47,38.652459,C,109,D
60,2,S,11,35.1109091,55,23.94590166,C,1011,D
60,2,S,13,39.04912289,57,28.44426219,C,1013,D
60,2,S,15,46.94571402,35,42.5819674,C,1015,D
60,3,S,1,42.37872343,47,38.66557383,C,101,D
60,3,S,3,35.5203702,54,19.54754095,C,103,D
60,3,S,5,37.46779633,59,22.35573755,C,105,D
60,3,S,7,35.73833345,60,21.56393432,C,107,D
60,3,S,9,43.85599998,50,33.84426206,C,109,D
60,3,S,11,35.21052632,57,25.56721307,C,1011,D
60,3,S,13,39.20877189,57,26.54754098,C,1013,D
60,3,S,15,42.31578961,57,27.63278674,C,1015,D
60,4,S,1,41.78809511,42,35.25081963,C,101,D
60,4,S,3,37.46481475,54,22.0163934,C,103,D
60,4,S,5,37.63999996,60,22.73442625,C,105,D
60,4,S,7,39.45000008,56,26.04426233,C,107,D
60,4,S,9,42.07499994,44,33.99508207,C,109,D
60,4,S,11,33.95087717,57,21.89344264,C,1011,D
60,4,S,13,38.44285708,49,28.46885242,C,1013,D
60,4,S,15,42.52200005,50,33.27868861,C,1015,D
60,5,S,1,42.2099997,40,38.80327875,C,101,D
60,5,S,3,38.22142853,56,20.13114743,C,103,D
60,5,S,5,37.35178569,56,24.01803284,C,105,D
60,5,S,7,38.15892843,56,29.5114753,C,107,D
60,5,S,9,43.53725493,51,28.87213123,C,109,D
60,5,S,11,34.84107137,56,23.3131147,C,1011,D
60,5,S,13,39.5245616,57,29.50491822,C,1013,D
60,5,S,15,39.23333315,48,32.3393443,C,1015,D
60,1,C,2,40.05892835,56,24.64918022,C,102,D
60,1,C,4,38.92982443,57,28.87049159,C,104,D
60,1,C,6,36.26491225,57,26.20983617,C,106,D
60,1,C,10,40.82380944,42,32.24098365,C,1010,D
60,1,C,17,34.49000003,60,29.7622951,C,1017,D
60,1,C,18,41.89615385,52,38.07868853,C,1018,D
60,1,C,19,38.06666689,60,13.23442627,C,1019,D
60,1,C,20,38.99607815,51,24.43934429,C,1020,D
60,2,C,2,41.14745761,59,22.54590164,C,102,D
60,2,C,4,39.22372892,59,30.70327886,C,104,D
60,2,C,6,37.39074071,54,30.39508216,C,106,D
60,2,C,10,41.99565216,46,31.18196727,C,1010,D
60,2,C,17,35.13965505,58,31.56721295,C,1017,D
60,2,C,18,42.51666648,54,38.57213113,C,1018,D
60,2,C,19,37.70535711,56,15.86721298,C,1019,D
60,2,C,20,39.44599983,50,29.21967208,C,1020,D
60,3,C,2,38.18965517,58,24.68524601,C,102,D
60,3,C,4,38.90576913,52,33.5327869,C,104,D
60,3,C,6,37.74310336,58,31.39999994,C,106,D
60,3,C,10,43.66756769,37,37.36557395,C,1010,D
60,3,C,17,33.61186435,59,27.14098366,C,1017,D
60,3,C,18,42.25769201,52,39.30655738,C,1018,D
60,3,C,19,37.94999998,56,16.07540987,C,1019,D
60,3,C,20,41.11607146,56,27.20491802,C,1020,D
60,4,C,2,38.92407389,54,22.06393454,C,102,D
60,4,C,4,38.31607158,56,32.48688543,C,104,D
