FI,Subject,LL,NT_LL,Session,FI_L
15,2,11.89777785,45,1,A
15,4,12.2735294,34,1,A
15,6,12.96666674,12,1,A
15,8,14.14130439,46,1,A
15,10,6.446874954,32,1,A
15,12,12.06666667,36,1,A
15,14,11.21111107,9,1,A
15,16,5.711999979,25,1,A
15,2,10.10192304,52,2,A
15,4,15.05135129,37,2,A
15,6,11.87199995,25,2,A
15,8,14.03265309,49,2,A
15,10,7.674999992,36,2,A
15,12,13.88333332,30,2,A
15,14,11.0666666,9,2,A
15,16,5.454545455,22,2,A
15,2,11.30377361,53,3,A
15,4,16.4846153,39,3,A
15,6,10.54146343,41,3,A
15,8,12.9425926,54,3,A
15,10,7.22647059,34,3,A
15,12,11.90909083,44,3,A
15,14,11.80000019,1,3,A
15,16,5.143243229,37,3,A
15,2,10.80980391,51,4,A
15,4,14.01666675,42,4,A
15,6,16.97142819,7,4,A
15,8,13.49655163,58,4,A
15,10,6.458333333,36,4,A
15,12,13.59459452,37,4,A
15,14,10.87142869,7,4,A
15,16,5.81250003,32,4,A
15,2,11.5,1,5,A
15,4,14.70909091,55,5,A
15,6,13.3499999,10,5,A
15,8,11.54444446,54,5,A
15,10,6.739473757,38,5,A
15,12,12.5515152,33,5,A
15,14,13.75,4,5,A
15,16,5.292857153,28,5,A
30,1002,13.46206892,58,1,B
30,1004,13.15932211,59,1,B
30,1006,12.61764695,17,1,B
30,1008,13.86363643,22,1,B
30,10012,11.18392857,56,1,B
30,10016,13.21785728,28,1,B
30,1002,13.39629632,54,2,B
30,1004,12.39215685,51,2,B
30,1006,10.7962964,27,2,B
30,1008,14.45200008,25,2,B
30,10012,10.74259256,54,2,B
30,10016,12.89000001,20,2,B
30,1002,12.82280699,57,3,B
30,1004,12.41228077,57,3,B
30,1006,9.866666555,18,3,B
30,1008,13.8320001,25,3,B
30,10012,9.808510633,47,3,B
30,10016,14.20416661,24,3,B
30,1002,12.51999995,55,4,B
30,1004,13.14576271,59,4,B
30,1006,10.40714278,14,4,B
30,1008,12.47777767,18,4,B
30,10012,10.35185188,54,4,B
30,10016,15.06363652,11,4,B
30,1002,13.79298246,57,5,B
30,1004,12.87288129,59,5,B
30,1006,12.49333334,15,5,B
30,1008,14.44210527,19,5,B
30,10012,10.48571425,42,5,B
30,10016,11.72307686,13,5,B
60,202,12.92380946,21,1,C
60,204,19.63333337,36,1,C
60,206,14.24255322,47,1,C
60,210,38.43888864,36,1,C
60,217,15.87592605,54,1,C
60,218,21.74210538,57,1,C
60,219,26.22765965,47,1,C
60,220,14.63469396,49,1,C
60,202,13.28928583,28,2,C
60,204,22.50769234,26,2,C
60,206,15.80277774,36,2,C
60,210,39.09499989,40,2,C
60,217,17.14583339,48,2,C
60,218,22.21355944,59,2,C
60,219,29.39259261,54,2,C
60,220,16.42340427,47,2,C
60,202,12.77317068,41,3,C
60,204,22.79687491,32,3,C
60,206,16.37500004,44,3,C
60,210,40.31086949,46,3,C
60,217,17.4676471,34,3,C
60,218,21.43220341,59,3,C
60,219,30.20000009,47,3,C
60,220,14.37735845,53,3,C
60,202,11.04054058,37,4,C
60,204,19.23548394,31,4,C
60,206,15.36170209,47,4,C
60,210,35.81562474,32,4,C
60,217,17.29230774,26,4,C
60,218,25.48181815,55,4,C
60,219,31.2897958,49,4,C
60,220,15.16399998,50,4,C
60,202,10.65862067,29,5,C
60,204,16.56896532,29,5,C
60,206,14.39423081,52,5,C
60,210,41.5806451,31,5,C
60,217,18.70357149,28,5,C
60,218,20.27166661,60,5,C
60,219,31.55319151,47,5,C
60,220,13.5254545,55,5,C
