Subject,Peak,Session,FI,,,PROM,SEM,MIN,MAX
1,9,1,A,,,6.725,0.554627965,4,10
1,7,2,A,,,8.9,0.879851085,6,14
1,7,3,A,,,11.925,2.822059963,5,45
1,7,4,A,,,,,,
1,6,5,A,,,,,,
2,6,1,A,,,,,,
2,9,2,A,,,,,,
2,8,3,A,,,,,,
2,5,4,A,,,,,,
2,8,5,A,,,,,,
3,7,1,A,,,,,,
3,8,2,A,,,,,,
3,6,3,A,,,,,,
3,10,4,A,,,,,,
3,9,5,A,,,,,,
4,10,1,A,,,,,,
4,7,2,A,,,,,,
4,6,3,A,,,,,,
4,7,4,A,,,,,,
4,8,5,A,,,,,,
5,6,1,A,,,,,,
5,6,2,A,,,,,,
5,6,3,A,,,,,,
5,5,4,A,,,,,,
5,5,5,A,,,,,,
6,9,1,A,,,,,,
6,7,2,A,,,,,,
6,6,3,A,,,,,,
6,8,4,A,,,,,,
6,7,5,A,,,,,,
7,5,1,A,,,,,,
7,6,2,A,,,,,,
7,7,3,A,,,,,,
7,8,4,A,,,,,,
7,5,5,A,,,,,,
8,4,1,A,,,,,,
8,5,2,A,,,,,,
8,4,3,A,,,,,,
8,5,4,A,,,,,,
8,5,5,A,,,,,,
9,7,1,B,,,,,,
9,7,2,B,,,,,,
9,7,3,B,,,,,,
9,6,4,B,,,,,,
9,8,5,B,,,,,,
10,7,1,B,,,,,,
10,8,2,B,,,,,,
10,8,3,B,,,,,,
10,7,4,B,,,,,,
10,8,5,B,,,,,,
11,8,1,B,,,,,,
11,8,2,B,,,,,,
11,7,3,B,,,,,,
11,8,4,B,,,,,,
11,10,5,B,,,,,,
12,14,1,B,,,,,,
12,12,2,B,,,,,,
12,12,3,B,,,,,,
12,12,4,B,,,,,,
12,13,5,B,,,,,,
13,9,1,B,,,,,,
13,9,2,B,,,,,,
13,6,3,B,,,,,,
13,6,4,B,,,,,,
13,9,5,B,,,,,,
14,10,1,B,,,,,,
14,10,2,B,,,,,,
14,11,3,B,,,,,,
14,10,4,B,,,,,,
14,10,5,B,,,,,,
15,11,1,C,,,,,,
15,9,2,C,,,,,,
15,10,3,C,,,,,,
15,8,4,C,,,,,,
15,8,5,C,,,,,,
16,15,1,C,,,,,,
16,17,2,C,,,,,,
16,16,3,C,,,,,,
16,12,4,C,,,,,,
16,10,5,C,,,,,,
17,8,1,C,,,,,,
17,8,2,C,,,,,,
17,10,3,C,,,,,,
17,8,4,C,,,,,,
17,7,5,C,,,,,,
18,40,1,C,,,,,,
18,15,2,C,,,,,,
18,11,3,C,,,,,,
18,16,4,C,,,,,,
18,45,5,C,,,,,,
19,8,1,C,,,,,,
19,9,2,C,,,,,,
19,9,3,C,,,,,,
19,12,4,C,,,,,,
19,15,5,C,,,,,,
20,5,1,C,,,,,,
20,6,2,C,,,,,,
20,5,3,C,,,,,,
20,5,4,C,,,,,,
20,5,5,C,,,,,,
21,15,1,C,,,,,,
21,9,2,C,,,,,,
21,17,3,C,,,,,,
21,18,4,C,,,,,,
21,11,5,C,,,,,,
22,8,1,C,,,,,,
22,10,2,C,,,,,,
22,8,3,C,,,,,,
22,9,4,C,,,,,,
22,9,5,C,,,,,,
